Date,Cash Weight,H5A4 Weight,C5A0 Weight,G5O2 Weight,Daily Return,Equity Curve
2022-10-19,0.1,0.0,0.0,0.9,-0.004354998350379513,1.217898363344624
2022-10-20,0.1,0.0,0.0,0.9,-0.0029837551110619364,1.2142644528782405
2022-10-21,0.1,0.0,0.0,0.9,0.0029936800088700365,1.2178995720963037
2022-10-24,0.1,0.0,0.0,0.9,-0.00039783401480821825,1.2174150502199035
2022-10-25,0.1,0.0,0.0,0.9,0.0038805970149253357,1.222139347429712
2022-10-26,0.1,0.0,0.0,0.9,0.0017833553500660626,1.224318856173477
2022-10-27,0.1,0.0,0.0,0.9,0.0034607778510218792,1.2285559517535105
2022-10-28,0.1,0.0,0.0,0.9,-0.0026595162525994034,1.2252885872325943
2022-10-31,0.1,0.0,0.0,0.9,-0.002074643249176622,1.222746550536799
2022-11-01,0.1,0.0,0.0,0.9,-0.0007921663549345204,1.2217779318588515
2022-11-02,0.1,0.0,0.0,0.9,-0.0006937561942517601,1.2209303158506244
2022-11-03,0.1,0.0,0.0,0.9,-0.0027771655278819086,1.2175395902654982
2022-11-04,0.1,0.0,0.0,0.9,0.0003979659518019485,1.2180241295673946
2022-11-07,0.1,0.0,0.0,0.9,-0.0014917127071823466,1.2162071874956644
2022-11-08,0.1,0.0,0.0,0.9,0.0025899280575539807,1.219357076614358
2022-11-09,0.1,0.0,0.0,0.9,0.0017878821322149907,1.2215371433444269
2022-11-10,0.1,0.0,0.0,0.9,0.010210375592025422,1.2340094963775832
2022-11-11,0.1,0.0,0.0,0.9,0.0,1.2340094963775832
2022-11-14,0.1,0.0,0.0,0.9,-0.001862339359616616,1.2317113519223384
2022-11-15,0.1,0.0,0.0,0.9,0.0029466331987341612,1.2353407534831706
2022-11-16,0.1,0.0,0.0,0.9,0.002055912107037972,1.237880505494574
2022-11-17,0.1,0.0,0.0,0.9,-0.0030280008682440295,1.234132202249154
2022-11-18,0.1,0.0,0.0,0.9,-0.001960143743874554,1.2317131257338012
2022-11-21,0.1,0.0,0.0,0.9,-0.0002946633198734561,1.2313501850550408
2022-11-22,0.1,0.0,0.0,0.9,0.0015720524017468485,1.233285932070848
2022-11-23,0.1,0.0,0.0,0.9,0.0018635571054925527,1.2355842308326628
2022-11-25,0.1,0.0,0.0,0.9,0.00019575856443714292,1.235826107027932
2022-11-28,0.1,0.0,0.0,0.9,0.0002935739915190361,1.2361889134309956
2022-11-29,0.1,0.0,0.0,0.9,-0.0013695652173912666,1.2344958720930357
2022-11-30,0.1,0.0,0.0,0.9,0.005290659699542877,1.2410271696527702
2022-12-01,0.1,0.0,0.0,0.9,0.0046753246753244776,1.2468293746017958
2022-12-02,0.1,0.0,0.0,0.9,0.00048449612403103084,1.2474334586011184
2022-12-05,0.1,0.0,0.0,0.9,-0.0049392015495534295,1.241272133329431
2022-12-06,0.1,0.0,0.0,0.9,0.002142393421337352,1.2439314265819654
2022-12-07,0.1,0.0,0.0,0.9,0.003983160621761606,1.2488862052564984
2022-12-08,0.1,0.0,0.0,0.9,-0.002708221386351406,1.2455039449263035
2022-12-09,0.1,0.0,0.0,0.9,-0.002037296539829647,1.242966484048961
2022-12-12,0.1,0.0,0.0,0.9,-0.0008751080380294596,1.2418787540877685
2022-12-13,0.88,0.12,0.0,0.0,0.004379798853682316,1.2473179332313344
2022-12-14,0.1,0.0,0.0,0.9,3.9656311962978915e-05,1.2473673972604116
2022-12-15,0.1,0.0,0.0,0.9,0.00029019776440235566,1.2477293804904848
2022-12-16,0.1,0.0,0.0,0.9,-9.67014075425765e-05,1.2476087233031592
2022-12-19,0.1,0.0,0.0,0.9,-0.002901353965183684,1.2439889687868058
2022-12-20,0.88,0.12,0.0,0.0,-0.0021345407503234105,1.2413336236399775
2022-12-21,0.88,0.12,0.0,0.0,0.0006182795698924615,1.2421011148588945
2022-12-22,0.88,0.12,0.0,0.0,-0.00032092712279919056,1.2417024909218772
2022-12-23,0.88,0.12,0.0,0.0,-0.00013407821229049599,1.2415360056716978
2022-12-27,0.1,0.0,0.0,0.9,-0.0002818791946308874,1.2411860425023138
2022-12-28,0.1,0.0,0.0,0.9,-0.0005866376969039244,1.240457915980911
2022-12-29,0.1,0.0,0.0,0.9,0.0010762039352103737,1.2417929016715525
2022-12-30,0.1,0.0,0.0,0.9,-0.00039087947882732177,1.2413075103093356
2023-01-03,0.1,0.0,0.0,0.9,0.0011731479469911487,1.2427637476666398
